code,name,department_code,description
20238,El Copey,20,El Copey
20250,El Paso,20,El Paso
20295,Gamarra,20,Gamarra
20310,González,20,González
20383,La Gloria,20,La Gloria
20400,La Jagua De Ibirico,20,La Jagua De Ibirico
20443,Manaure Balcón Del Cesar,20,Manaure Balcón Del Cesar
20517,Pailitas,20,Pailitas
20550,Pelaya,20,Pelaya
20570,Pueblo Bello,20,Pueblo Bello
20614,Río De Oro,20,Río De Oro
20621,La Paz,20,La Paz
20710,San Alberto,20,San Alberto
20750,San Diego,20,San Diego
20770,San Martín,20,San Martín
20787,Tamalameque,20,Tamalameque
23001,Montería,23,Montería
23068,Ayapel,23,Ayapel
23079,Buenavista,23,Buenavista
23090,Canalete,23,Canalete
23162,Cereté,23,Cereté
23168,Chimá,23,Chimá
23182,Chinú,23,Chinú
23189,Ciénaga De Oro,23,Ciénaga De Oro
23300,Cotorra,23,Cotorra
23350,La Apartada,23,La Apartada
23417,Lorica,23,Lorica
23419,Los Córdobas,23,Los Córdobas
23464,Momil,23,Momil
23466,Montelíbano,23,Montelíbano
23500,Moñitos,23,Moñitos
23555,Planeta Rica,23,Planeta Rica
23570,Pueblo Nuevo,23,Pueblo Nuevo
23574,Puerto Escondido,23,Puerto Escondido
23580,Puerto Libertador,23,Puerto Libertador
23586,Purísima De La Concepción,23,Purísima De La Concepción
23660,Sahagún,23,Sahagún
23670,San Andrés De Sotavento,23,San Andrés De Sotavento
23672,San Antero,23,San Antero
23675,San Bernardo Del Viento,23,San Bernardo Del Viento
23678,San Carlos,23,San Carlos
23682,San José De Uré,23,San José De Uré
23686,San Pelayo,23,San Pelayo
23807,Tierralta,23,Tierralta
23815,Tuchín,23,Tuchín
23855,Valencia,23,Valencia
25001,Agua De Dios,25,Agua De Dios
25019,Albán,25,Albán
25035,Anapoima,25,Anapoima
25040,Anolaima,25,Anolaima
25053,Arbeláez,25,Arbeláez
25086,Beltrán,25,Beltrán
25095,Bituima,25,Bituima
25099,Bojacá,25,Bojacá
25120,Cabrera,25,Cabrera
25123,Cachipay,25,Cachipay
25126,Cajicá,25,Cajicá
25148,Caparrapí,25,Caparrapí
25151,Cáqueza,25,Cáqueza
25154,Carmen De Carupa,25,Carmen De Carupa
25168,Chaguaní,25,Chaguaní
25175,Chía,25,Chía
25178,Chipaque,25,Chipaque
25181,Choachí,25,Choachí
25183,Chocontá,25,Chocontá
25200,Cogua,25,Cogua
25214,Cota,25,Cota
25224,Cucunubá,25,Cucunubá
25245,El Colegio,25,El Colegio
25258,El Peñón,25,El Peñón
25260,El Rosal,25,El Rosal
25269,Facatativá,25,Facatativá
25279,Fómeque,25,Fómeque
25281,Fosca,25,Fosca
25286,Funza,25,Funza
25288,Fúquene,25,Fúquene
25290,Fusagasugá,25,Fusagasugá
25293,Gachalá,25,Gachalá
25295,Gachancipá,25,Gachancipá
25297,Gachetá,25,Gachetá
25299,Gama,25,Gama
25307,Girardot,25,Girardot
25312,Granada,25,Granada
25317,Guachetá,25,Guachetá
25320,Guaduas,25,Guaduas
25322,Guasca,25,Guasca
25324,Guataquí,25,Guataquí
25326,Guatavita,25,Guatavita
25328,Guayabal De Síquima,25,Guayabal De Síquima
25335,Guayabetal,25,Guayabetal
25339,Gutiérrez,25,Gutiérrez
25368,Jerusalén,25,Jerusalén
25372,Junín,25,Junín
25377,La Calera,25,La Calera
25386,La Mesa,25,La Mesa
25394,La Palma,25,La Palma
25398,La Peña,25,La Peña
25402,La Vega,25,La Vega
25407,Lenguazaque,25,Lenguazaque
25426,Machetá,25,Machetá
25430,Madrid,25,Madrid
25436,Manta,25,Manta
25438,Medina,25,Medina
25473,Mosquera,25,Mosquera
25483,Nariño,25,Nariño
25486,Nemocón,25,Nemocón
25488,Nilo,25,Nilo
25489,Nimaima,25,Nimaima
25491,Nocaima,25,Nocaima
25506,Venecia,25,Venecia
25513,Pacho,25,Pacho
25518,Paime,25,Paime
25524,Pandi,25,Pandi
25530,Paratebueno,25,Paratebueno
25535,Pasca,25,Pasca
25572,Puerto Salgar,25,Puerto Salgar
25580,Pulí,25,Pulí
25592,Quebradanegra,25,Quebradanegra
25594,Quetame,25,Quetame
25596,Quipile,25,Quipile
25599,Apulo,25,Apulo
